# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;1.85;7.0;0.264285714286
6;11;0.477777777778;2.0;0.238888888889
5;11;0.0;0.0;0.0
4;11;-0.694642857143;4.0;-0.173660714286
3;11;2.3;5.0;0.46
2;11;-0.231818181818;3.0;-0.0772727272727
1;11;0.0;0.0;0.0
31;10;0.0;0.0;0.0
30;10;0.2;1.0;0.2
29;10;0.0;0.0;0.0
28;10;0.6;1.0;0.6
27;10;0.0;0.0;0.0
26;10;-0.166666666667;1.0;-0.166666666667
25;10;2.325;7.0;0.332142857143
24;10;1.05;4.0;0.2625
23;10;0.0;0.0;0.0
22;10;0.0;0.0;0.0
21;10;0.0;0.0;0.0
20;10;1.8;9.0;0.2
19;10;-0.0999999999999;3.0;-0.0333333333333
18;10;-0.375;3.0;-0.125
17;10;3.2;7.0;0.457142857143
16;10;0.587239583333;2.0;0.293619791666
15;10;2.88892857143;15.0;0.192595238095
14;10;2.63333333333;5.0;0.526666666667
13;10;0.0;0.0;0.0
12;10;17.85;154.0;0.115909090909
11;10;1.9125;3.0;0.6375
10;10;0.4;2.0;0.2
9;10;1.0;1.0;1.0
8;10;0.0;0.0;0.0
7;10;0.0;0.0;0.0
6;10;0.0;0.0;0.0
5;10;0.0;0.0;0.0
4;10;0.0;0.0;0.0
3;10;0.0;0.0;0.0
2;10;0.0;0.0;0.0
1;10;0.0;0.0;0.0
30;9;1.4;7.0;0.2
29;9;0.0;0.0;0.0
28;9;0.625;2.0;0.3125
27;9;0.75;3.0;0.25
26;9;0.0;0.0;0.0
25;9;0.0;0.0;0.0
24;9;0.0;0.0;0.0
23;9;0.0;0.0;0.0
22;9;-0.4;1.0;-0.4
21;9;0.0;0.0;0.0
20;9;0.4;1.0;0.4
19;9;1.2;3.0;0.4
18;9;43.3359821429;78.0;0.555589514652
17;9;0.0;0.0;0.0
16;9;2.0;2.0;1.0
15;9;0.0;0.0;0.0
14;9;0.0;0.0;0.0
13;9;0.75;2.0;0.375
12;9;0.0;0.0;0.0
11;9;0.0;0.0;0.0
10;9;1.9;3.0;0.633333333333
9;9;0.0;0.0;0.0
8;9;0.0;0.0;0.0
