# date;sentiment;objectivity;retweets;favourites
2016-11-07 23:46;1.0;0.75;1;0
2016-11-07 23:40;0.625;0.5;3;10
2016-11-07 23:20;0.4;0.7;8;9
2016-11-07 22:38;-0.15625;0.375;3;8
2016-11-07 21:04;0.2;0.4;0;0
2016-11-07 17:07;0.0;0.0;2;3
2016-11-07 13:17;0.0;0.0;3;2
2016-11-07 10:37;0.03125;0.25;0;0
2016-11-07 06:22;0.5;0.6;1;0
2016-11-07 06:08;0.3125;0.65;1;0
2016-11-07 03:40;0.0;0.0;5;3
2016-11-06 17:21;0.0;0.0;0;0
2016-11-05 18:24;0.223214285714;0.30119047619;0;0
2016-11-05 02:40;0.0;0.0;0;0
2016-11-05 02:01;0.0;0.0;0;1
2016-11-05 00:44;0.0;0.0;0;1
2016-11-04 21:42;0.0371212121212;0.318181818182;0;3
2016-11-04 21:41;-0.05;0.75;3;8
2016-11-04 21:37;0.2;0.2;1;2
2016-11-04 20:54;0.0;0.0;4;12
2016-11-04 01:34;0.5;1.0;0;0
2016-11-03 23:52;0.4;0.9;0;2
2016-11-03 23:46;0.25;0.5;0;1
2016-11-03 22:15;0.3;0.666666666667;6;10
2016-11-03 21:53;0.0;0.1;0;2
2016-11-03 20:06;0.8;0.75;0;3
2016-11-03 15:52;0.078125;0.5;0;0
2016-11-03 15:45;0.0;0.0;0;0
2016-11-03 14:48;1.0;1.0;1;1
2016-11-03 04:55;0.0;0.0;0;0
2016-11-03 04:27;0.2;0.2;0;0
2016-11-03 02:03;0.125;0.425;0;0
2016-11-02 20:57;0.8;0.75;1;1
2016-11-02 20:36;0.2;0.9;1;3
2016-11-02 18:12;-0.19375;0.3;3;7
2016-11-02 18:10;-0.5;1.0;0;0
2016-11-02 17:59;0.0;0.0;0;1
2016-11-02 16:08;0.0681818181818;0.289772727273;0;0
2016-11-02 15:24;-0.5;0.5;3;1
2016-11-02 15:03;0.2;0.35;0;0
2016-11-02 03:58;0.0;0.0;4;4
